ItemLabels,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020
Frozen chickenBAYELSA,1550,1575,1320,1250,1366.67,1500,1341.67,1496.43,1404.2,1394.48,1355.54,1666.67,1679.33,1766.67,1750,1781.82,1750,1745,1850,1838.89,1839.05,2050,2000,1885,1900,1880,1975,1912.5,2011.11,2009.38,1845.45,1890.91,1808.33,1900.09,2000,2000,2087.5,1972.73,2087.5,2070,1962.5,2024.44,2075,2030,2200,2166.67,1994.29,2016.67,2070,2107.5,2125,2166.67
"Gari white,sold looseBAYELSA",251.68,244.42,281.82,315.98,294.05,238.54,318.75,364.58,366.08,256.18,339.55,363.89,286.89,276.04,301.28,304.22,305.45,320,331.43,291.4,291.43,258,242.7,240.15,256.64,250.49,269.22,242.46,255.99,248.21,237.95,257.51,243.79,238.95,238.73,231.75,215.65,226.23,215.65,264.3,230.46,200.39,248.61,251.14,240.79,259.02,264.18,246.88,247.52,270.03,305.21,325.48
"Gari yellow,sold looseBAYELSA",289.41,252.75,264.31,327.78,332.14,254.17,302.43,332.44,333.8,267.65,380.16,395.12,331.01,328.02,357.78,365.13,365.25,374.91,389.29,351.01,351.04,322.86,303.56,288.31,270.07,262.71,281.3,253.71,271.27,221.38,259.49,265.93,247.55,245.14,246.36,251.67,219.41,245.96,219.41,255.91,235.18,207.33,253.87,255.77,242.26,276.29,275.51,250.49,251.49,261.33,294.65,345.48
"Groundnut oil: 1 bottle, specify bottleBAYELSA",328.88,377.77,373.33,411.11,413.33,400,413.33,400,409.2,423.68,433.33,438.89,424.45,463.33,492.86,466.67,489.83,503.11,500.33,500,448.24,503.86,502.76,501,533.33,600,577.78,578.18,581.07,581.48,568.67,570.53,575.14,533.33,544.44,550.03,533.33,533.33,533.33,540.73,545.06,566.67,496.67,503.33,466.67,466.67,466.67,466.67,437.5,450.26,466.67,523.33
Iced SardineBAYELSA,755.51,753.34,748.97,740.47,746.61,757.91,760.44,766.75,767.31,783.58,778.47,765.64,767.21,812.94,797.98,750.05,755.94,759.46,753.88,745.56,731.8,794.02,778.47,773.4,899.98,1087.03,1070.24,1118.21,1144.53,1036.14,1102.6,1033.89,975.06,1035.86,1043.72,984.83,948.57,1063.99,998.57,1092.8,952.14,905.8,905.07,955.38,950.38,1012.88,1286.87,1277.76,1220.08,1205.35,1257.43,1238.83
Irish potatoBAYELSA,186.85,189.89,184.71,185.75,188.83,196.11,190.98,187.46,188.15,187.17,181.75,191.75,190.66,195.07,193.82,192.16,196.73,191.42,198.94,196.12,187.81,179.31,179.88,176.39,236.11,258,257.07,274.91,303.01,303.22,320.25,315.45,354.11,375.14,390.81,370.5,357.9,350.57,377.9,388.58,371.59,338.09,303.69,350.33,360,376.88,329.17,326.25,312.64,315.17,330.56,347.5
Mackerel : frozenBAYELSA,801.3,802,802.7,803.4,804.1,804.8,848.5,749.38,788.2,878.15,880,881.85,798.84,800,895.5,879.4,880.01,880.62,881.22,881.83,872.13,944.29,927.2,920.03,1053.72,1056.43,934.02,1067.4,1093.52,977.09,998.47,1001.32,862.65,986.62,939.74,1078.69,1023.93,990.54,1023.93,1100.79,958.67,929.06,926.76,975.1,952.1,918.21,958.88,971.72,945.31,939.62,958.49,996.09
Maize grain white sold looseBAYELSA,109.62,118.25,124.25,120.72,135.96,153.32,157.09,180.45,192.27,204.09,200,198.43,201.98,200,218.94,215.4,238,256.68,250,250.04,207.27,257.06,257.02,251.95,267.6,271.67,317.95,296.36,277.87,268.48,253.56,301.51,300.6,298.74,270.99,300.24,282.52,300.11,282.52,297.9,298.52,238.23,199.05,205.24,281.96,219.64,260.19,269.39,285.16,292.49,287.83,307.29
Maize grain yellow sold looseBAYELSA,197.07,189.81,201.56,216.28,220.79,241.86,240.57,242.91,221.63,200.36,219.96,220.11,246.76,240.76,240,245,256.91,256.82,246.09,283.13,231.76,257.2,257.18,250.42,268.22,307.18,361.13,323.16,312.98,309.17,302.6,347.81,353.05,309.01,316.75,333.02,302.75,349.8,302.75,326.57,317.81,283.35,237.24,241.62,276.92,200.96,257.49,277.57,295.62,310.34,304.86,353.32
Mudfish (aro) freshBAYELSA,859.99,749.5,1124.24,951.51,1036.33,1230.38,744.77,1236.03,1245.2,1242.27,1278.81,1288.89,1309.7,1324.71,1377.05,1367.58,1368.55,1311.93,1381.99,1420.94,1421.07,1392.66,1378.81,1355.15,1404.27,1417.05,1439.32,1382.77,1312.53,1313.44,1300.69,1288.46,1105.84,1116.24,1130.56,1101.79,1121.53,1096.02,1121.53,1155.26,1033.81,1013.59,1055.26,1047.08,1089.55,1120.66,1136.29,1117.65,1087.18,1065.72,1098.61,1174.98
Mudfish : driedBAYELSA,942.65,1143.29,1238.39,1201.6,1374.94,1302.97,1234.96,1251.8,1256.93,1391.79,925.07,1210.36,1329.75,1704.58,2043.5,2251.95,2525.38,2685.38,1781.42,1537.43,1625.55,1661.34,1655.07,1603.11,1883.67,1988.32,1759.47,1792.46,1851.37,2000,1963.97,1894.44,1834.18,1862.73,1960.48,1837.07,1859.79,2007.32,1989.79,2056.08,1998.25,1958.58,1892.33,1881.46,1857.89,1878.28,1800.51,1834.12,1819.13,1767.51,1737.05,1809.36
Onion bulbBAYELSA,223.3,271.18,282.16,174.71,166.34,194.45,261.21,218.16,219.06,304.57,313.99,351.72,301.3,309.35,311.11,245.23,235.57,242.38,249.08,303.35,286.87,279.34,278.45,265.87,283.23,373.12,291.86,251.28,256.72,257.23,242.28,235.57,209.87,219.33,343.72,426.12,442.74,356.4,342.74,356.94,378.89,325,344.97,370.91,348.03,311.67,283.32,299.96,300.01,345.07,378.01,345.12
"Palm oil: 1 bottle,specify bottleBAYELSA",370,332.37,349.42,347.33,342.66,358.92,402.22,423.33,423.86,424.38,465.95,472.85,463.64,496.11,461.48,503.33,479.12,489.39,511.67,525,464.9,490.12,495.12,492,506.1,628.57,554.36,591.11,544.44,600,605.56,587.18,592.4,593.33,520.83,500.44,500,477.78,500,550.28,507.02,500,444.44,500.25,533.33,535.45,480.54,462.86,428.89,429.05,438.1,500.46
Plantain(ripe)BAYELSA,156.24,177.75,183.13,192.04,175.51,207.45,218.11,210.07,229.14,248.2,252.77,224.67,240.69,233.42,251.31,269.14,236.23,256.48,237.33,232.94,242.49,256.86,244.13,226.48,258.48,269.86,257.61,218.06,195.8,223.63,200.55,186.4,176.16,183.14,172.13,182.46,186.24,191.23,186.24,203.3,226.09,193.54,247.52,200.64,204.26,217.04,247.44,206.37,238,209.57,239.28,240.85
Plantain(unripe)BAYELSA,208.72,198.77,200,194.99,179.34,195.02,153.79,173.4,181.33,173.97,153.38,168.95,176.95,196.63,208.37,200,208.58,215,210,205.03,184.45,215.32,211.1,211.21,254.04,268.47,250.78,198.99,191.28,201.95,184.81,168.57,167.69,171.03,167.74,173.51,180.71,184.08,181.71,184.1,184.66,190.63,219.39,193.21,195.2,206.66,196.48,194.41,208.94,195.54,189.95,218.45
Rice agric sold looseBAYELSA,302.16,266.79,325.19,307.74,362.52,338.23,389.75,407.86,409.53,423.57,496.61,461.83,355.67,369.58,355.37,248,277.78,280.58,301.6,387.5,409.51,406.67,400.57,400.96,405.9,485.96,495.33,480.41,476.7,477.03,483.04,507.5,550,513.63,503.76,566.67,527.14,536.78,497.14,512.7,502,488.89,433.33,432,517.54,517.64,554.71,579.66,549.72,530.9,546.74,591.17
Rice local sold looseBAYELSA,253.15,253.68,259.26,292.6,300.93,333.09,355.56,314.72,316.01,343.76,432.53,490.12,372.68,320.68,350.18,357.47,390.63,403.01,399.76,410.14,389.24,382.08,378.4,373.01,403.19,415.38,403.75,397.03,374.18,354.55,382.02,420.02,429.87,418.1,448.06,428.26,412.56,428.73,412.56,416.93,407.69,411.72,406.12,407.59,433.73,437.78,455.29,484.27,463.76,457.82,454.74,530.88
Rice Medium GrainedBAYELSA,352.38,237.96,283.71,272.99,328.11,361.96,332.96,348.15,349.58,341.46,341.5,340,387.39,385,389.51,390.83,420.37,404.17,450,400,421.15,415,400.22,400,418.89,460.12,513.27,455,431.25,430.07,457.54,458.13,437.92,457.22,477.36,468.18,450,473.13,450,471.43,452.22,445,491.11,494.33,497.64,498.5,502.82,530.95,481.71,480.38,517.23,580
"Rice,imported high quality sold looseBAYELSA",356.24,361.64,329.97,311.76,349.92,375.68,381.27,389.14,390.74,425.79,521.08,623.48,448.54,508.33,504.64,475,503.17,539.29,534.92,451.11,457.65,443.33,411.17,410.41,415.87,517,540.17,508.25,504.91,495.71,510.33,521.65,512.14,515.09,519.2,521.33,507.14,515.21,507.14,514.64,493.38,493.33,452.5,460.22,558.82,559.21,592.57,595.5,602.77,577.6,601.16,659.64
Sweet potatoBAYELSA,158.66,157.82,141.48,158.74,156.48,149.67,151.63,153.44,153.81,156.73,153.16,152.38,159.91,159.32,156.49,156.71,162.58,162.89,165.83,164.94,151.79,146.76,130.19,130.12,162.78,167.03,215.87,276.46,271.54,261.11,221.85,223.85,208.24,202.61,214.86,196.15,201.06,220.63,201.06,227.3,215.47,222.64,224.51,230.8,197.26,203.24,251.69,219.75,226.3,221.93,243.74,244.57
Tilapia fish (epiya) freshBAYELSA,711.12,676.67,668.9,665.58,657.57,678.65,661.11,665.24,662.84,661.66,671.03,671.63,673.67,694.89,693.7,695.92,692.5,685.24,695.41,694.7,687.71,724.04,724.04,721.3,817.6,863.8,976.13,1022.39,1121.09,1109.33,1170.49,1216.09,1236.52,1206.35,1347.04,1262.31,1288.88,1233.26,1288.88,1303.7,1278.68,1224.08,1184.4,1157.75,1208.86,1183.35,1259.3,1220.27,1258.23,1239.42,1205.2,1283
Titus:frozenBAYELSA,671.37,667.3,627.42,638.25,630.56,627.62,656.61,652.17,653.66,651.78,640.91,638.73,630.94,634.58,637.48,669.31,652.19,652.04,656.11,651.62,650.34,747.01,740.87,736.24,851.09,877.64,907.68,945.82,1009.61,961.41,958.77,1016.19,952.99,957.05,988.16,999.28,903.1,1034.63,903.1,1081.39,918.84,932.16,950.57,1000.82,1076.34,1029.72,961.49,1003.47,1043.19,987.86,924.66,1002.96
TomatoBAYELSA,294.62,295.58,265.89,307.4,538.46,500.18,416.07,387.07,388.66,321.17,478.77,488.29,369.78,342.88,375.83,380.62,426.75,491.34,508.27,435.44,411.73,381.15,369.52,367.97,365.15,386.75,301.27,370.55,386.94,363.02,418.46,425.07,452.55,460.02,391.25,413.57,396.69,399.23,396.69,404.12,420.66,378.59,319.18,343.45,311.89,354.02,362.09,376.68,348.84,400.13,397.49,462.22
"Vegetable oil:1 bottle,specify bottleBAYELSA",347.22,366.66,322.66,313.32,372.62,387.41,342.85,352.38,350,352.59,380,406.66,420.13,445.23,422.22,459.26,456.8,447.22,487.5,501.33,408.38,447.89,447.99,436.67,450.67,597.95,533.33,564.44,550,532.5,533.33,512.82,534.35,585.71,517.78,518.22,506.97,524.44,506.97,548.26,521.66,583.33,570.48,528.33,497.62,499.67,503.08,521.11,516.42,517.69,485.71,502.86
Wheat flour: prepacked (golden penny 2kg)BAYELSA,550,550,545.83,533.33,597.91,615,593.33,617.5,591.41,608.46,630,662.5,657.11,665.33,679.05,700,697.89,700,685.89,701.66,653.65,701.05,680.05,679.82,705.56,708,790,777.27,769,750,751.11,742,700,716.67,725.71,735.56,730,722.5,730,737.27,703.33,719,742.31,757.5,721.11,730,747.14,752.86,742.86,746.43,788.3,802.5
Yam tuberBAYELSA,184.29,142.18,252.79,267.48,213.92,315.55,451.88,318.88,320.19,325.02,459.4,500.45,369.37,355.19,407.32,360.77,373.45,373.8,403.9,476.55,333.48,318.81,312.5,307.22,318.28,319.88,412.13,444.97,414.23,445.77,399.21,371.49,351.3,345.75,306.81,292.03,278.47,309.51,298.47,314.42,320.6,274.67,244.05,275,282.28,329.45,393.79,402.72,428.45,421.39,417.64,437.13
Agric eggs medium sizeOSUN,305.16,308.28,323.97,316.67,311.49,310.36,321,311,315,468.21,398.73,431.59,543.95,540.83,562.5,523.68,520.59,460.26,458.61,427.65,434,420.1,415.41,489.29,420,455,498.13,555,514.35,494.25,450.2,411.58,414.38,490,425,412.22,413.91,426.67,411.67,410.5,396.36,485,454.12,421.25,412.5,427,429.52,415,411.25,409.47,425.71,422.67
Agric eggs(medium size price of one)OSUN,27.08,28.17,29.06,28,28.52,29.93,30,30.56,29.69,37.55,39.55,35.28,47.73,42.25,47.56,45.71,40,40.82,40.29,39.96,38.44,38.33,35.22,37.67,40,36.5,38.16,38.33,40,36.75,38.3,38.06,36.33,37.5,37.94,37.97,40,38.68,37.41,36.97,38,37.92,38.06,37.82,38.24,37.75,37.5,36.79,36.58,38.06,36.39,38.93
"Beans brown,sold looseOSUN",222.43,226.02,247.17,241.24,249.65,266.9,259.38,270.81,309.11,392.74,299.29,307.96,383.91,356.81,340,349.45,374.69,386.11,415.56,452.38,428,404.71,380.94,413.66,450,421.57,465.89,438.82,500,515.74,485.84,469.67,477.19,477.02,420.37,424.07,423.33,398.52,387.44,360.17,324.48,360.61,310.42,258.66,257.5,257.51,299,284.05,246,226.3,222.94,265.89
Beans:white black eye. sold looseOSUN,160.83,170.11,178.57,187.92,210.15,236.75,216.63,232.5,263.19,276.61,255.35,234.51,275.95,274,301.05,304.04,324.26,336.51,350.14,349.08,327.11,306.67,306.67,284.21,350,337.19,341.91,344.89,367.24,367.43,357.16,349.82,342.92,343.15,317.41,304.12,323.6,296.63,285.31,271.41,271.21,251.11,211.99,192.54,207.65,219.58,230.92,224.51,232.81,189.83,174.81,207.26
Beef Bone inOSUN,570.05,592.01,629.65,637.98,588.9,603.29,615.46,826.97,717.25,778.53,1013.83,915.48,901,918.83,956.84,1004.71,1067.09,1078.4,1072.75,979.49,956.2,961.01,958.31,942.44,980,869.61,752.24,776.04,848.31,776.87,759.39,754.05,680.83,711.9,726.25,778.14,784.47,709.6,722.52,757.79,789.32,812.94,814.33,789.53,783.81,812.04,829.34,798.94,807.92,725.22,700.45,786.22
"Beef,bonelessOSUN",917.64,1044.9,959.91,1032.91,1041.28,1034.52,1062.75,1049.42,1000.96,1331.86,1165.25,1052.6,1261.3,1093.27,1247.63,1308.18,1371.39,1354.86,1325.64,1263.43,1300.21,1315.19,1360.25,1290.12,1290.12,1164.35,1258.18,1216.21,1236.94,1219.81,1206.52,1247.49,1271.98,1276.82,1319.07,1245.58,1286.89,1202.21,1206.81,1253.79,1240.8,1211.58,1256.52,1226.9,1235.57,1263.75,1214.24,1225.05,1238.19,1158.55,1206.68,1284.18
Bread sliced 500gOSUN,211.75,217.22,239.44,251.25,250,258.33,300,257.73,258.17,286.88,303.13,312.5,277.44,300,303.13,309.23,314.29,326.15,308.33,300,308.75,301.17,308.33,311.11,300,310.71,303.33,307.14,308.28,312.5,302.78,310.71,309.09,325,328.57,327.78,312.16,300,300,310,310.71,307.14,312.5,320.83,333.33,318.18,330.77,319.44,319.09,322.73,321.43,331.82
Bread unsliced 500gOSUN,151.67,296,193.3,200,200,250,300,200,200.34,244.78,250,247.22,215,252.78,250,247.5,241.18,250,250,250,250,225.94,247.06,253.57,280,252.63,250,250,249.6,252.63,252.27,257.89,253.13,263.89,247.06,262.5,270,247.06,239.58,261.11,252.63,250,253.13,252.27,253.33,250,255,253.57,257.5,259.38,262.5,278.33
Broken Rice (Ofada)OSUN,250.11,250.54,250.96,323.5,324.05,324.6,325.15,338.24,338.81,424.79,464.71,505.16,530.14,452.94,438.24,440,453.25,446.63,449.94,450.11,450.38,450.38,450.38,452.94,352.94,365,488.24,482.06,496.25,436.9,432.81,436.31,433.25,412.56,428.73,372.5,385.13,381.2,388.02,375.39,355.56,361.02,365.12,360.55,375,381.11,372.65,402.65,411,377.1,400,430.15
Catfish (obokun) freshOSUN,650,671.43,680,685.72,600,600,700,700,720,688.63,675,700,782.11,700,800,800,839.67,909.79,915,909.24,802.78,889.49,956.35,838.89,838.89,885.83,825.07,863.25,866.04,903.17,870.34,883.23,886.33,869.57,849.07,869.57,867.53,925.93,899.2,877.13,842.11,888.89,863.54,888.88,850,840,879.52,902.38,871.15,845.74,900,975
Catfish :driedOSUN,1500.7,1580.47,1569.83,1505.93,1590.33,1540.92,1506.7,1621.88,1664.44,1659.92,1647.46,1648.95,1657.62,1675,1662.12,1681.21,1656.48,1604.18,1629.72,1624.86,1672.65,1604.42,1728.62,1577.96,1582.12,1743.8,1749.79,1710.51,1649.6,1661.07,1689.09,1696.51,1703.02,1713.91,1820.28,1990.5,1972.85,1909.92,1892.75,1926.27,1901.39,1882.65,1863.8,1876.03,1829.52,1773.61,1688.93,1705.26,1680.29,1675.47,1679.31,1749.79
Catfish SmokedOSUN,1071.77,1066.67,1000,1120.37,1240.74,1114.28,1250,1263.53,1305,1313.35,1283.33,1266.67,1271.97,1308.46,1300,1311.42,1300,1300,1320,1320,1298.57,1362.5,1205.09,1285.71,1200,1225,1321.06,1306.68,1288.06,1300,1350.97,1372.39,1382.63,1276.19,1222.22,1350,1299.6,1396.83,1408.17,1485.71,1509.32,1583.12,1573.97,1585.65,1542.89,1518.23,1592.03,1610.58,1595.02,1600,1650,1700
Chicken FeetOSUN,600.54,600,601.02,602.04,603.07,650,651.11,652.21,653.32,900.84,890.8,900.22,900,910.76,900,900,1000,1100,1166.67,990.21,990.8,990.8,900,961.19,961.19,955,932.25,825,917.39,918.17,917.02,918,917.14,906.32,914.62,900,915.18,909.31,900.12,900,892,851.23,798.33,816.31,789.3,750,780,780,759.03,800,850,900
Chicken WingsOSUN,870.34,850,851.45,900,900,900,850,900,1000,1050.29,900,1000,1000,950,1066.67,1000,1050,1150,1100,1125.66,1200,1200,1200,1068.15,1068.15,1100,1150,1100,1114.69,1150,1166.67,1166.67,1200,1200,1200,1216.67,1152.74,1016.67,1000,1000,1020,999.31,971.11,1010,1000.31,970,950,950,960.15,1010,1028,1070
Dried Fish SardineOSUN,1590.78,1583.81,1588.3,1592.61,1595.25,1583.33,1590,1592.78,1597.96,1603.83,1670.59,1688.16,1684.44,1686.32,1690.74,1688.24,1690.56,1700,1709.57,1709.57,1704.03,1757.58,1605.71,1640,1640,1500,1533.33,1514.46,1543.62,1526.85,1520,1563.89,1566.97,1528.39,1585.58,1570.92,1549.5,1538.46,1522.27,1591.66,1581.96,1578.15,1522.03,1542.14,1484.39,1438.34,1515.24,1538.72,1474.36,1566.67,1581.9,1642.86
Evaporated tinned milk carnation 170gOSUN,120,120,130,125,130,130,130,130,120,126.59,155,120,118.36,150,143.25,155,180,187.5,193.24,189.45,189.56,189.56,189.56,199.23,195,195,180,190,186.83,189.37,189.3,189.36,189.3,187.32,188.82,160,186.69,170,177.02,175.32,175.95,174.23,171.02,173.72,172.03,170,174.54,170,169.02,172.72,175,185
"Evaporated tinned milk(peak), 170gOSUN",143.33,142.78,144.28,148.75,151.43,142.83,147.47,147.83,155,166.67,151.63,153.89,150,171,200,199.38,196.84,197.62,197.23,202.67,205.31,215,215,197.43,200,192.78,195.26,194.21,205,195.22,202.5,195.26,193.33,198.95,192.63,205.29,200,200.56,198.85,200,202.27,201.67,201.25,202.08,200.13,199,205.5,202,203.33,194.44,197.5,203.85
Frozen chickenOSUN,1000,1100,1000,1100,1000,1033.33,1200,1202.04,1100,1291.03,1200,1300,1296.08,1350,1500,1550,1500,1450,1500,1645.33,1646.32,1500,1400,1550,1550,1500,1450,1550,1570.9,1400,1350,1433.33,1466.67,1500,1450,1600,1485.08,1500,1510,1600,1650,1700,1750,1722.5,1923.04,1875,1816.67,1795,1758.33,1698,1650,1700
"Gari white,sold looseOSUN",83.5,95,110.19,153.64,159.85,163.19,139.77,146.83,148.33,183.35,164.35,161.11,180,203.75,252.19,263.13,266.05,272.89,272.24,244.08,222.85,205.83,194.21,195,140,135,137.12,144.13,148.33,146.74,140.75,130.3,156.04,139.17,110.42,114.36,136.67,128.51,108.33,119.56,112.83,106.67,129.17,139.21,125,140.79,122.33,117.92,124.31,107.5,111.57,187.7
"Gari yellow,sold looseOSUN",100,100,112.26,162.01,166.17,165.9,139.86,155.47,156.25,186.67,173.23,169.79,234.38,229.66,265.79,272.13,280.29,294.17,294.58,285.79,251.83,215,215.09,212.38,145.67,139.81,148.14,153.92,200,252.64,250.35,241.23,223.04,176.11,138.06,121.66,142.55,125.98,112.33,150.66,119.23,116.03,113.24,123.61,125,114.66,136.05,127.08,128.06,113.6,119.01,193.46
"Groundnut oil: 1 bottle, specify bottleOSUN",351.11,370,406.67,418,426.67,443.33,480,513.33,493.33,445.36,450,455.55,461.73,473.33,454.67,473.33,507.03,498.22,500,500,467.86,498.96,498.96,466.67,600.23,600,600,584.76,594.88,591.67,564,565.33,561.67,583.33,575,505,577.16,607.41,608.33,581.67,554.5,613.33,575.56,600,600.01,622.22,632,613.33,647.62,636.67,648.53,689.33
Iced SardineOSUN,748.96,781.11,781.87,774.98,771.78,774.68,799.81,789.52,790.34,803.91,805.22,804.69,812.35,819.16,821.11,825.37,825.64,827.52,845.86,894.19,842.7,861.27,740.98,692.99,692.99,724.7,601.37,607.23,661.9,646.79,688.03,674.77,656.03,595.68,612.75,652.38,651.22,641.83,656.18,670.13,679.77,650.28,679.71,668.87,719.44,750.14,740.34,697.88,658.04,708.83,646.48,716.38
Irish potatoOSUN,221.25,228.95,220,225,230.9,250,250.53,251.05,250,257.49,265,255.89,268.04,270,270,270,269.88,275,270,270.55,270,265,260,300,350,375,337.5,383.33,396.81,406.67,400,395,350,300,350,250,317.86,300,300,300,289.11,300,251,300,276.45,247.78,245,260,225,250,250,265
Mackerel : frozenOSUN,681.72,652.9,651.93,615.16,739.84,720.87,727.13,794.45,756.52,891.1,883.16,857.88,833.79,823.86,842.35,899.39,904.95,900,907.42,878.78,861.42,851.44,888.45,923.8,784.31,892.96,884.83,867.42,879.72,822.81,893.85,832.93,855.71,907.19,885.56,870.17,864.79,881.15,898.1,859.25,902.33,848.34,901.68,954.13,949.66,917.86,928.34,953.56,963.55,927.43,985.15,1026.93
Maize grain white sold looseOSUN,66.26,75.27,81.81,90.3,102.33,117.81,120.83,135.97,139.14,129,141.67,135.76,138.78,149.09,153.82,159.45,165.97,171.91,155.11,157.99,145.41,172.16,172.16,163.31,150.55,150.55,142,155.31,158.31,170.6,174.67,174.47,179.38,156.88,128.98,105.41,133.93,135.96,115.98,99.84,106.32,97.92,95.98,96.46,93.38,96.12,104.63,143.95,95.39,102.5,117.13,151.85
Maize grain yellow sold looseOSUN,70.69,79.22,86.49,95.21,104.09,115.63,122.09,138.03,149.12,125.36,145.58,140.86,143.51,154.2,165.4,170.77,170.81,179.02,168.71,134.5,151.04,179.28,179.28,174.34,180.22,180.22,154.78,164,167.65,183.55,183,186.02,194.71,178.95,140.05,112.92,135,132,105.03,123.96,123.5,111.36,101.61,102.21,97.79,104.24,101.25,110.29,98.84,103.44,120.37,158.54
Mudfish (aro) freshOSUN,660.19,580.43,550,628.55,667.39,667.39,833.33,730.95,750,815.08,784.62,783.33,800,887.88,891.42,898.55,905.96,914.44,910.2,878.48,933.05,865.27,873.85,869.57,869.57,863.22,951.91,985.61,990.8,985.83,957.38,1187.5,1213.73,1096.97,1005.71,949.63,1004.82,936.26,925.59,934.78,894.45,820,839.35,876.06,896.55,903.23,961.03,976.67,914.43,980,950,995.13
Mudfish : driedOSUN,1245.66,1367.52,1381.77,1410.35,1584.72,1459.85,1493.94,1502.38,1472.15,1965.19,1916.67,1828.89,1911.34,1827.75,1841.22,2263.06,2226.12,2229.76,2183.36,1940.25,1941.41,1868.05,1705.34,1646.83,1646.83,1505.63,1503.7,1518.58,1538.63,1557.86,1510.06,1620.41,1688.74,1733.33,1853.97,1676.59,1612.86,1650,1645.99,1662.99,1625.5,1600.18,1590.84,1598.9,1586.81,1560,1607.62,1617.95,1575.21,1531.75,1600,1666.67
Onion bulbOSUN,170.1,133.27,133.14,111.55,144.66,140.42,273.02,157.73,283.38,255.87,291.11,280.64,239.78,238.21,221.05,162.59,156.66,185.39,183.66,233.09,245.71,228.18,247.83,266.22,350.88,350,255.62,285.36,290.93,275.96,269.88,289.99,291.3,251.95,241.01,225.27,250,235.86,207.74,240.59,248.86,202.19,200.15,173.52,148.63,189.87,207.59,229.22,200.24,247.21,209.82,196.36
"Palm oil: 1 bottle,specify bottleOSUN",277.46,303.11,309.66,291.6,287.18,270,278.33,300,325.85,358.9,400.81,400,406.5,417.66,425.36,471.91,458.61,428.5,429.85,510.53,404.98,429.14,429.14,444.17,435.83,436.3,430,430.37,454.91,433.33,434.44,432,477.78,468.1,460.95,458.52,441.4,436.49,414.36,424.93,439.65,417.78,428.57,395.07,388.15,411.33,452,420,422.96,397.89,395.83,462.22
Plantain(ripe)OSUN,150.92,161.94,131.56,147.79,140.08,146.83,158.06,137.93,159.12,185.94,180,184.61,201.28,198.67,205.47,210.83,219.58,219.14,227.31,257.21,193.13,219.46,213.8,278.63,203.51,252.7,238.54,259.55,316.13,383.06,283.86,277.14,281.68,262.4,227.48,196.56,225.22,236.7,226.14,220.47,204.92,205.23,203.8,225.09,212.04,182.2,176.62,156.62,152.75,163.8,174.91,235.67
Plantain(unripe)OSUN,184.51,196.75,193.92,197.86,181.65,194.9,186.5,202,198.4,204.98,199.66,204.91,217.52,208.53,200,181.94,180.86,207.68,183.94,152.22,199.32,207.99,200,267.72,255.3,276.24,293.74,243.47,277.18,280.79,295.09,241.6,269.18,252.73,238.49,203.45,247.27,265.31,254.8,268.89,234.84,217.65,202.99,186.84,186.58,141.21,145.82,176.63,178.73,143.6,175.2,198.69
Rice agric sold looseOSUN,230.12,211.76,264.71,294.1,294.6,295.1,295.6,296.1,296.61,305.27,345.59,382.35,292.83,372.75,352.94,352.94,394.12,394.12,394.26,294.12,308.82,308.82,308.82,344.24,342.5,325,283.87,281.7,301.05,306.82,306.08,282.13,302.98,311.02,300.55,303,303.89,305.29,295.63,303.25,323.06,330.21,303.21,318.62,321.02,359.3,394.12,351.22,301.14,324.36,297.88,354.12
Rice local sold looseOSUN,155.88,185.95,190.24,210.3,227.16,237.75,216.18,278.99,387.06,259.15,276.01,284.56,263.58,280.52,305.43,286.88,314.26,317.31,314.31,281.9,274.71,262.75,241.91,239.71,230.15,230.15,252.73,237.68,266.23,260.39,255.71,264.12,260,271.37,263.87,286.54,256.58,252.08,267.44,249.63,250.74,240,238.01,242.35,280.32,307.09,345.74,358.7,344.02,291.33,315.92,360.19
Rice Medium GrainedOSUN,193.64,211.04,236.04,269.87,292.92,300.61,286.01,343.52,374.49,287.81,371.48,351.47,290.56,365.75,390.52,361.56,384.84,380.29,371.36,320.42,314.34,303.8,298.04,298.63,298.63,294.71,293.07,305.79,323.33,315.54,304.53,305.09,323.69,335.69,312.75,315.06,310.65,308.24,294.12,290.88,297.55,284.8,287.89,297.93,324.03,352.63,353.53,350.53,383.48,433.87,450,519.3
